Data;7460 - �ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos agr�colas - Var. % mensal;7461 - �ndice Nacional de Custo da Constru��o (INCC-DI) - M�o-de-obra - Var. % mensal;7462 - �ndice Nacional de Custo da Constru��o (INCC-DI) - Materiais e servi�os - Var. % mensal
10/1990;12,97 ;14,16 ;14,04 ;11,48 ;14,59 ;-;-;-;-;-
11/1990;16,86 ;17,45 ;16,74 ;13,05 ;18,43 ;-;-;-;-;-
12/1990;18,00 ;16,46 ;18,87 ;17,51 ;15,00 ;-;-;-;-;-
01/1991;17,70 ;19,93 ;19,91 ;17,03 ;20,32 ;-;-;-;-;-
02/1991;21,02 ;21,11 ;21,53 ;15,50 ;21,57 ;-;-;-;-;-
03/1991;9,19 ;7,25 ;6,60 ;8,33 ;7,48 ;-;-;-;-;-
04/1991;7,81 ;8,74 ;8,62 ;6,77 ;9,04 ;-;-;-;-;-
05/1991;7,48 ;6,53 ;7,05 ;13,19 ;5,45 ;-;-;-;-;-
06/1991;8,48 ;9,86 ;11,72 ;10,18 ;8,77 ;-;-;-;-;-
07/1991;13,22 ;12,83 ;13,31 ;13,61 ;12,45 ;-;-;-;-;-
08/1991;15,25 ;15,49 ;15,49 ;14,63 ;15,60 ;-;-;-;-;-
09/1991;14,93 ;16,19 ;16,87 ;21,11 ;15,17 ;-;-;-;-;-
10/1991;22,63 ;25,85 ;23,98 ;23,01 ;27,34 ;-;-;-;-;-
11/1991;25,62 ;25,76 ;25,36 ;29,47 ;25,52 ;-;-;-;-;-
12/1991;23,63 ;22,14 ;23,80 ;19,71 ;21,50 ;-;-;-;-;-
01/1992;23,56 ;26,84 ;25,70 ;29,87 ;27,11 ;-;-;-;-;-
02/1992;27,86 ;24,79 ;23,89 ;23,63 ;25,48 ;-;-;-;-;-
03/1992;21,39 ;20,70 ;20,86 ;27,77 ;19,67 ;-;-;-;-;-
04/1992;19,94 ;18,54 ;20,10 ;17,42 ;17,80 ;-;-;-;-;-
05/1992;20,43 ;22,45 ;23,13 ;28,22 ;21,23 ;-;-;-;-;-
06/1992;23,61 ;21,42 ;23,11 ;18,03 ;20,90 ;-;-;-;-;-
07/1992;21,84 ;21,69 ;20,45 ;23,53 ;22,19 ;-;-;-;-;-
08/1992;24,63 ;25,54 ;24,48 ;17,28 ;27,40 ;-;-;-;-;-
09/1992;25,27 ;27,37 ;26,13 ;34,30 ;27,17 ;-;-;-;-;-
10/1992;26,76 ;24,94 ;26,61 ;18,91 ;24,83 ;-;-;-;-;-
11/1992;23,43 ;24,22 ;22,74 ;29,16 ;24,43 ;-;-;-;-;-
12/1992;25,08 ;23,70 ;24,75 ;18,84 ;23,78 ;-;-;-;-;-
01/1993;25,83 ;28,73 ;30,08 ;36,90 ;26,69 ;-;-;-;-;-
02/1993;28,41 ;26,51 ;28,41 ;22,60 ;26,23 ;-;-;-;-;-
03/1993;26,25 ;27,81 ;25,71 ;32,61 ;28,08 ;-;-;-;-;-
04/1993;28,83 ;28,22 ;30,46 ;21,28 ;28,32 ;-;-;-;-;-
05/1993;29,70 ;32,27 ;29,94 ;40,60 ;32,06 ;-;-;-;-;-
06/1993;31,50 ;30,72 ;32,82 ;27,13 ;30,30 ;-;-;-;-;-
07/1993;31,25 ;31,96 ;30,74 ;33,73 ;32,29 ;-;-;-;-;-
08/1993;31,79 ;33,53 ;35,69 ;28,42 ;33,34 ;-;-;-;-;-
09/1993;35,28 ;36,99 ;35,48 ;40,09 ;37,25 ;-;-;-;-;-
10/1993;35,04 ;35,14 ;35,75 ;34,03 ;35,03 ;-;-;-;-;-
11/1993;36,15 ;36,96 ;37,32 ;38,40 ;36,52 ;-;-;-;-;-
12/1993;38,32 ;36,22 ;38,26 ;32,99 ;35,72 ;-;-;-;-;-
01/1994;39,07 ;42,19 ;42,67 ;45,93 ;41,28 ;-;-;-;-;39,72
02/1994;40,78 ;42,41 ;41,98 ;39,14 ;43,23 ;-;-;-;-;42,23
03/1994;45,71 ;44,83 ;43,47 ;55,71 ;43,65 ;-;-;-;-;41,94
04/1994;40,91 ;42,46 ;45,57 ;45,60 ;40,20 ;-;-;-;-;42,06
05/1994;42,58 ;40,95 ;43,77 ;45,60 ;38,47 ;-;-;-;-;39,82
06/1994;45,21 ;46,58 ;49,10 ;44,74 ;45,50 ;-;-;-;-;45,54
07/1994;4,33 ;5,47 ;8,10 ;3,58 ;4,41 ;-;-;-;-;18,45
08/1994;3,94 ;3,34 ;2,60 ;0,14 ;4,40 ;-;-;-;-;-0,02
09/1994;1,75 ;1,55 ;1,46 ;0,38 ;1,79 ;2,71 ;1,94 ;1,86 ;0,31 ;-0,13
10/1994;1,82 ;2,55 ;2,65 ;1,32 ;2,71 ;1,63 ;1,98 ;1,81 ;0,88 ;0,20
11/1994;2,85 ;2,47 ;3,11 ;2,36 ;2,18 ;2,95 ;2,76 ;3,49 ;1,42 ;0,94
12/1994;0,84 ;0,57 ;1,11 ;1,32 ;0,17 ;1,15 ;0,22 ;1,52 ;2,44 ;1,08
01/1995;0,92 ;1,36 ;1,63 ;3,50 ;0,87 ;0,61 ;0,51 ;1,59 ;1,37 ;1,11
02/1995;1,39 ;1,15 ;1,97 ;2,09 ;0,58 ;1,65 ;0,88 ;1,68 ;3,54 ;0,87
03/1995;1,12 ;1,81 ;2,74 ;3,30 ;1,08 ;1,22 ;0,12 ;2,63 ;2,41 ;1,02
04/1995;2,10 ;2,30 ;2,90 ;2,30 ;1,99 ;1,74 ;1,61 ;2,82 ;2,74 ;1,95
05/1995;0,58 ;0,40 ;2,21 ;8,77 ;-2,03 ;1,54 ;-0,73 ;2,39 ;2,43 ;1,21
06/1995;2,46 ;2,62 ;4,39 ;3,12 ;1,55 ;1,44 ;0,56 ;3,64 ;9,38 ;1,52
07/1995;1,82 ;2,24 ;2,63 ;1,09 ;2,24 ;2,22 ;0,90 ;3,12 ;2,71 ;1,28
08/1995;2,20 ;1,29 ;0,74 ;0,62 ;1,73 ;2,11 ;2,86 ;1,49 ;0,93 ;0,50
09/1995;-0,71 ;-1,08 ;0,67 ;0,72 ;-2,42 ;0,12 ;-1,58 ;0,41 ;0,46 ;1,57
10/1995;0,52 ;0,23 ;0,63 ;0,86 ;-0,14 ;-0,03 ;0,33 ;0,80 ;0,72 ;0,64
11/1995;1,20 ;1,33 ;1,25 ;0,73 ;1,49 ;0,80 ;1,41 ;0,97 ;0,76 ;0,36
12/1995;0,71 ;0,27 ;1,57 ;0,86 ;-0,61 ;1,00 ;0,20 ;1,46 ;1,07 ;0,32
01/1996;1,73 ;1,79 ;2,70 ;1,52 ;1,31 ;1,14 ;1,49 ;2,49 ;0,67 ;0,21
02/1996;0,97 ;0,76 ;1,46 ;0,11 ;0,47 ;1,55 ;0,48 ;1,67 ;1,35 ;0,03
03/1996;0,40 ;0,22 ;0,43 ;0,98 ;-0,07 ;0,41 ;0,13 ;0,93 ;0,19 ;-0,15
04/1996;0,32 ;0,70 ;1,31 ;0,25 ;0,41 ;0,25 ;-0,05 ;0,75 ;0,89 ;0,37
05/1996;1,55 ;1,68 ;2,08 ;2,16 ;1,34 ;1,35 ;1,41 ;2,11 ;0,55 ;0,23
06/1996;1,02 ;1,22 ;1,57 ;1,54 ;0,94 ;1,08 ;0,41 ;1,67 ;2,01 ;0,39
07/1996;1,35 ;1,09 ;0,76 ;0,75 ;1,38 ;1,21 ;1,59 ;0,90 ;1,52 ;0,13
08/1996;0,28 ;0,00 ;0,01 ;0,23 ;-0,05 ;0,70 ;0,22 ;0,22 ;0,74 ;0,44
09/1996;0,10 ;0,13 ;-0,35 ;0,22 ;0,41 ;0,09 ;0,35 ;-0,31 ;0,15 ;0,33
10/1996;0,19 ;0,22 ;0,18 ;0,26 ;0,24 ;0,17 ;0,37 ;-0,11 ;0,23 ;0,20
11/1996;0,20 ;0,28 ;0,25 ;0,58 ;0,24 ;0,15 ;0,02 ;0,46 ;0,28 ;0,36
12/1996;0,73 ;0,88 ;0,44 ;0,59 ;1,21 ;0,38 ;1,23 ;0,01 ;0,48 ;1,29
01/1997;1,77 ;1,58 ;1,85 ;0,32 ;1,67 ;1,73 ;1,93 ;1,86 ;0,68 ;0,36
02/1997;0,43 ;0,42 ;0,53 ;0,48 ;0,34 ;0,73 ;0,27 ;0,73 ;0,31 ;0,35
03/1997;1,15 ;1,16 ;0,63 ;0,73 ;1,59 ;0,93 ;1,62 ;0,63 ;0,42 ;0,15
04/1997;0,68 ;0,59 ;0,80 ;0,23 ;0,53 ;0,77 ;0,61 ;0,77 ;0,73 ;0,40
05/1997;0,21 ;0,30 ;0,39 ;0,86 ;0,14 ;0,30 ;0,20 ;0,21 ;0,30 ;0,16
06/1997;0,74 ;0,70 ;1,30 ;1,11 ;0,24 ;0,59 ;0,32 ;1,36 ;1,00 ;0,31
07/1997;0,09 ;0,09 ;0,24 ;0,51 ;-0,09 ;0,11 ;-0,28 ;0,42 ;0,94 ;0,54
08/1997;0,09 ;-0,04 ;-0,27 ;1,18 ;-0,15 ;0,28 ;0,09 ;-0,05 ;0,55 ;0,03
09/1997;0,48 ;0,59 ;0,17 ;0,27 ;0,92 ;0,27 ;0,73 ;-0,15 ;1,18 ;0,18
10/1997;0,37 ;0,34 ;0,29 ;0,15 ;0,41 ;0,35 ;0,44 ;0,30 ;0,22 ;0,20
11/1997;0,64 ;0,83 ;0,53 ;0,54 ;1,08 ;0,49 ;0,91 ;0,33 ;0,22 ;0,31
12/1997;0,84 ;0,69 ;0,56 ;0,23 ;0,87 ;0,72 ;0,97 ;0,73 ;0,52 ;0,10
01/1998;0,96 ;0,88 ;1,26 ;0,33 ;0,75 ;0,86 ;0,99 ;1,12 ;0,29 ;0,26
02/1998;0,18 ;0,02 ;0,14 ;0,48 ;-0,15 ;0,49 ;-0,05 ;0,46 ;0,48 ;0,09
03/1998;0,19 ;0,23 ;0,33 ;0,47 ;0,13 ;0,13 ;0,12 ;0,26 ;0,31 ;0,09
04/1998;0,13 ;-0,13 ;0,23 ;-0,50 ;-0,28 ;0,16 ;0,20 ;0,20 ;-0,46 ;-0,08
05/1998;0,14 ;0,23 ;0,14 ;0,98 ;0,13 ;0,12 ;-0,01 ;0,26 ;0,47 ;0,12
06/1998;0,38 ;0,28 ;0,41 ;0,39 ;0,17 ;0,36 ;0,38 ;0,23 ;0,86 ;0,18
07/1998;-0,17 ;-0,38 ;-0,25 ;0,34 ;-0,61 ;0,00 ;-0,34 ;-0,09 ;0,42 ;-0,22
08/1998;-0,16 ;-0,17 ;-0,52 ;0,22 ;-0,04 ;-0,20 ;-0,06 ;-0,45 ;0,29 ;-0,23
09/1998;-0,08 ;-0,02 ;-0,17 ;0,01 ;0,06 ;-0,29 ;0,07 ;-0,40 ;0,09 ;-0,31
10/1998;0,08 ;-0,03 ;0,20 ;0,01 ;-0,19 ;0,17 ;0,09 ;0,08 ;0,05 ;-0,08
11/1998;-0,32 ;-0,18 ;-0,19 ;-0,05 ;-0,20 ;-0,08 ;-0,52 ;-0,07 ;-0,07 ;-0,25
12/1998;0,45 ;0,98 ;0,09 ;0,05 ;1,74 ;-0,07 ;0,94 ;-0,19 ;-0,01 ;0,23
01/1999;0,84 ;1,15 ;0,64 ;0,55 ;1,58 ;0,89 ;1,05 ;0,70 ;0,21 ;1,82
02/1999;3,61 ;4,44 ;1,41 ;0,98 ;6,99 ;2,64 ;5,82 ;0,97 ;0,62 ;5,97
03/1999;2,83 ;1,98 ;0,95 ;0,55 ;2,84 ;3,51 ;4,16 ;1,19 ;0,91 ;3,11
04/1999;0,71 ;0,03 ;0,52 ;0,52 ;-0,34 ;1,19 ;0,76 ;0,67 ;0,58 ;1,11
05/1999;-0,29 ;-0,34 ;0,08 ;0,86 ;-0,82 ;-0,22 ;-0,70 ;0,22 ;0,38 ;0,71
06/1999;0,36 ;1,02 ;0,65 ;0,41 ;1,35 ;-0,06 ;0,33 ;0,24 ;0,88 ;0,89
07/1999;1,55 ;1,59 ;1,20 ;0,46 ;2,03 ;1,39 ;2,01 ;1,12 ;0,41 ;2,26
08/1999;1,56 ;1,45 ;0,48 ;0,69 ;2,15 ;1,58 ;2,24 ;0,70 ;0,52 ;2,15
09/1999;1,45 ;1,47 ;0,19 ;0,86 ;2,30 ;1,49 ;2,16 ;0,37 ;0,83 ;2,06
10/1999;1,70 ;1,89 ;0,92 ;1,01 ;2,58 ;1,54 ;2,50 ;0,55 ;0,79 ;2,15
11/1999;2,39 ;2,53 ;1,12 ;0,91 ;3,59 ;2,21 ;3,26 ;1,15 ;1,22 ;2,10
12/1999;1,81 ;1,23 ;0,60 ;1,04 ;1,60 ;2,35 ;2,60 ;0,62 ;0,81 ;0,97
01/2000;1,24 ;1,02 ;1,01 ;1,07 ;1,02 ;1,22 ;1,29 ;1,17 ;1,15 ;0,98
02/2000;0,35 ;0,19 ;0,05 ;0,77 ;0,17 ;0,55 ;0,41 ;0,05 ;0,89 ;0,74
03/2000;0,15 ;0,18 ;0,51 ;0,56 ;-0,05 ;0,13 ;-0,06 ;0,34 ;0,82 ;0,60
04/2000;0,23 ;0,13 ;0,25 ;0,60 ;-0,02 ;0,35 ;0,04 ;0,45 ;0,69 ;0,32
05/2000;0,31 ;0,67 ;0,40 ;1,35 ;0,69 ;0,18 ;0,20 ;0,43 ;0,57 ;0,72
06/2000;0,85 ;0,93 ;-0,01 ;0,73 ;1,45 ;0,76 ;1,25 ;0,00 ;1,09 ;0,64
07/2000;1,57 ;2,26 ;1,91 ;0,30 ;2,79 ;1,22 ;1,98 ;1,02 ;0,83 ;2,48
08/2000;2,39 ;1,82 ;0,86 ;0,39 ;2,56 ;2,52 ;3,10 ;1,66 ;0,35 ;1,70
09/2000;1,16 ;0,69 ;0,04 ;0,26 ;1,09 ;1,52 ;1,81 ;0,14 ;0,30 ;0,67
10/2000;0,38 ;0,37 ;0,02 ;0,33 ;0,56 ;0,51 ;0,59 ;0,00 ;0,28 ;0,45
11/2000;0,29 ;0,39 ;0,40 ;0,41 ;0,38 ;0,35 ;0,36 ;0,14 ;0,29 ;0,57
12/2000;0,63 ;0,76 ;0,62 ;0,64 ;0,85 ;0,51 ;0,66 ;0,61 ;0,49 ;1,15
01/2001;0,62 ;0,49 ;0,64 ;0,58 ;0,40 ;0,63 ;0,66 ;0,62 ;0,40 ;0,78
02/2001;0,23 ;0,34 ;0,40 ;0,34 ;0,31 ;0,40 ;0,08 ;0,42 ;0,55 ;0,31
03/2001;0,56 ;0,80 ;0,56 ;0,27 ;1,01 ;0,36 ;0,65 ;0,47 ;0,34 ;0,27
04/2001;1,00 ;1,13 ;0,86 ;0,36 ;1,39 ;0,94 ;1,24 ;0,74 ;0,28 ;0,48
05/2001;0,86 ;0,44 ;0,41 ;2,11 ;0,18 ;1,10 ;0,79 ;0,63 ;2,00 ;0,49
06/2001;0,98 ;1,46 ;0,52 ;1,16 ;1,96 ;0,69 ;1,31 ;0,40 ;0,69 ;1,59
07/2001;1,48 ;1,62 ;1,36 ;0,52 ;1,93 ;1,32 ;1,73 ;1,10 ;1,07 ;1,89
08/2001;1,38 ;0,90 ;0,54 ;0,62 ;1,13 ;1,67 ;1,75 ;0,90 ;0,56 ;1,05
09/2001;0,31 ;0,38 ;0,12 ;0,55 ;0,48 ;0,63 ;0,34 ;0,13 ;0,59 ;0,75
10/2001;1,18 ;1,45 ;0,71 ;0,93 ;1,88 ;0,87 ;1,53 ;0,52 ;0,92 ;1,94
11/2001;1,10 ;0,76 ;0,85 ;0,74 ;0,73 ;1,27 ;1,30 ;0,85 ;0,60 ;0,65
12/2001;0,22 ;0,18 ;0,70 ;0,34 ;-0,09 ;0,42 ;-0,08 ;0,70 ;0,70 ;-0,32
01/2002;0,36 ;0,19 ;0,79 ;0,36 ;-0,13 ;0,26 ;0,14 ;0,82 ;0,40 ;-0,32
02/2002;0,06 ;0,18 ;0,14 ;0,58 ;0,14 ;0,14 ;-0,09 ;0,29 ;0,31 ;0,36
03/2002;0,09 ;0,11 ;0,42 ;0,55 ;-0,11 ;0,18 ;-0,14 ;0,33 ;0,84 ;0,04
04/2002;0,56 ;0,70 ;0,71 ;0,33 ;0,75 ;0,36 ;0,52 ;0,72 ;0,32 ;1,30
05/2002;0,83 ;1,11 ;0,28 ;2,53 ;1,27 ;0,70 ;0,81 ;0,30 ;2,47 ;1,42
06/2002;1,54 ;1,74 ;0,55 ;0,57 ;2,50 ;1,35 ;2,31 ;0,39 ;0,21 ;1,74
07/2002;1,95 ;2,05 ;1,03 ;0,29 ;2,82 ;1,86 ;2,66 ;0,90 ;0,63 ;2,23
08/2002;2,32 ;2,36 ;0,76 ;1,00 ;3,32 ;2,26 ;3,20 ;0,91 ;0,82 ;2,50
09/2002;2,40 ;2,64 ;0,66 ;0,71 ;3,84 ;2,40 ;3,43 ;0,67 ;0,68 ;3,04
10/2002;3,87 ;4,21 ;1,14 ;1,13 ;6,02 ;3,32 ;5,62 ;0,91 ;0,82 ;4,96
11/2002;5,19 ;5,84 ;3,14 ;2,45 ;7,45 ;4,73 ;6,73 ;2,51 ;2,19 ;7,05
12/2002;3,75 ;2,70 ;1,94 ;1,70 ;3,14 ;4,87 ;4,45 ;2,55 ;2,13 ;3,18
01/2003;2,33 ;2,17 ;2,32 ;1,51 ;2,21 ;2,29 ;2,55 ;2,06 ;1,45 ;2,64
02/2003;2,28 ;1,59 ;1,37 ;1,39 ;1,71 ;2,42 ;2,64 ;1,62 ;1,60 ;1,91
03/2003;1,53 ;1,66 ;1,06 ;1,38 ;1,93 ;1,58 ;1,72 ;1,10 ;1,38 ;2,56
04/2003;0,92 ;0,41 ;1,12 ;0,90 ;0,07 ;1,24 ;0,80 ;1,28 ;0,81 ;0,48
05/2003;-0,26 ;-0,67 ;0,69 ;2,84 ;-1,68 ;0,02 ;-1,11 ;0,83 ;2,98 ;-1,15
06/2003;-1,00 ;-0,70 ;-0,16 ;1,05 ;-1,16 ;-0,59 ;-1,67 ;0,10 ;0,74 ;-1,21
07/2003;-0,42 ;-0,20 ;0,34 ;0,99 ;-0,59 ;-0,73 ;-0,75 ;0,07 ;0,59 ;-0,66
08/2003;0,38 ;0,62 ;0,13 ;1,44 ;0,70 ;0,21 ;0,20 ;0,18 ;2,20 ;0,29
09/2003;1,18 ;1,05 ;0,76 ;0,22 ;1,29 ;0,95 ;1,54 ;0,63 ;0,24 ;0,40
10/2003;0,38 ;0,44 ;0,21 ;0,65 ;0,50 ;0,67 ;0,36 ;0,39 ;0,47 ;0,18
11/2003;0,49 ;0,48 ;0,33 ;1,04 ;0,46 ;0,45 ;0,57 ;0,31 ;0,42 ;0,54
12/2003;0,61 ;0,60 ;0,43 ;0,16 ;0,74 ;0,59 ;0,64 ;0,41 ;0,99 ;0,80
01/2004;0,88 ;0,80 ;1,08 ;0,33 ;0,75 ;0,76 ;0,98 ;0,84 ;0,28 ;1,20
02/2004;0,69 ;1,08 ;0,28 ;1,00 ;1,42 ;0,78 ;0,79 ;0,53 ;0,48 ;2,29
03/2004;1,13 ;0,93 ;0,46 ;1,16 ;1,09 ;1,05 ;1,33 ;0,46 ;1,59 ;0,94
04/2004;1,21 ;1,15 ;0,31 ;0,59 ;1,57 ;1,20 ;1,65 ;0,31 ;0,60 ;1,86
05/2004;1,31 ;1,46 ;0,71 ;1,83 ;1,71 ;1,24 ;1,52 ;0,59 ;1,74 ;1,32
06/2004;1,38 ;1,29 ;0,78 ;0,70 ;1,57 ;1,50 ;1,73 ;0,76 ;0,56 ;1,97
07/2004;1,31 ;1,14 ;0,59 ;1,12 ;1,35 ;1,31 ;1,58 ;0,67 ;1,12 ;1,76
08/2004;1,22 ;1,31 ;0,79 ;0,81 ;1,59 ;0,84 ;1,42 ;0,80 ;0,90 ;1,98
09/2004;0,69 ;0,48 ;0,01 ;0,58 ;0,65 ;1,25 ;0,90 ;0,15 ;0,67 ;1,13
10/2004;0,39 ;0,53 ;0,10 ;1,19 ;0,61 ;0,23 ;0,44 ;0,05 ;0,95 ;1,83
11/2004;0,82 ;0,82 ;0,37 ;0,71 ;1,00 ;0,83 ;0,99 ;0,30 ;0,94 ;1,30
12/2004;0,74 ;0,52 ;0,63 ;0,51 ;0,48 ;0,77 ;0,81 ;0,58 ;0,61 ;0,38
01/2005;0,39 ;0,33 ;0,85 ;0,75 ;0,08 ;0,42 ;0,20 ;0,80 ;0,70 ;0,33
02/2005;0,30 ;0,40 ;0,43 ;0,44 ;0,39 ;0,31 ;0,20 ;0,51 ;0,42 ;0,08
03/2005;0,85 ;0,99 ;0,70 ;0,67 ;1,14 ;0,67 ;0,94 ;0,66 ;0,71 ;0,30
04/2005;0,86 ;0,51 ;0,88 ;0,72 ;0,33 ;1,17 ;0,96 ;0,80 ;0,38 ;1,01
05/2005;-0,22 ;-0,25 ;0,79 ;2,09 ;-0,98 ;0,00 ;-0,77 ;1,02 ;0,54 ;-0,38
06/2005;-0,44 ;-0,45 ;-0,05 ;0,76 ;-0,78 ;-0,41 ;-1,00 ;0,05 ;2,20 ;-0,71
07/2005;-0,34 ;-0,40 ;0,13 ;0,11 ;-0,69 ;-0,37 ;-0,65 ;0,12 ;0,65 ;-0,38
08/2005;-0,65 ;-0,79 ;-0,44 ;0,02 ;-1,04 ;-0,52 ;-0,88 ;-0,32 ;0,05 ;-0,57
09/2005;-0,53 ;-0,13 ;0,09 ;0,24 ;-0,28 ;-0,69 ;-0,76 ;-0,17 ;0,06 ;0,67
10/2005;0,60 ;0,63 ;0,42 ;0,19 ;0,79 ;0,48 ;0,72 ;0,42 ;0,28 ;0,78
11/2005;0,40 ;0,33 ;0,57 ;0,28 ;0,24 ;0,35 ;0,40 ;0,46 ;0,29 ;0,13
12/2005;-0,01 ;0,07 ;0,46 ;0,37 ;-0,14 ;0,06 ;-0,27 ;0,52 ;0,38 ;-0,37
01/2006;0,92 ;0,72 ;0,65 ;0,34 ;0,81 ;0,84 ;1,10 ;0,70 ;0,24 ;0,86
02/2006;0,01 ;-0,06 ;0,01 ;0,19 ;-0,12 ;0,17 ;-0,06 ;0,11 ;0,28 ;0,08
03/2006;-0,23 ;-0,45 ;0,22 ;0,20 ;-0,81 ;-0,03 ;-0,48 ;0,22 ;0,23 ;-0,06
04/2006;-0,42 ;0,02 ;0,34 ;0,36 ;-0,15 ;-0,65 ;-0,77 ;0,22 ;0,21 ;0,05
05/2006;0,38 ;0,38 ;-0,19 ;1,32 ;0,46 ;0,36 ;0,43 ;0,07 ;0,81 ;0,67
06/2006;0,75 ;0,67 ;-0,40 ;0,90 ;1,06 ;0,57 ;1,11 ;-0,44 ;1,45 ;0,88
07/2006;0,18 ;0,17 ;0,06 ;0,47 ;0,17 ;0,39 ;0,21 ;-0,08 ;0,57 ;0,08
08/2006;0,37 ;0,41 ;0,16 ;0,24 ;0,53 ;0,27 ;0,46 ;0,13 ;0,35 ;0,34
09/2006;0,29 ;0,24 ;0,19 ;0,11 ;0,28 ;0,36 ;0,36 ;0,18 ;0,09 ;0,00
10/2006;0,47 ;0,81 ;0,14 ;0,21 ;1,16 ;0,21 ;0,65 ;0,10 ;0,18 ;-0,07
11/2006;0,75 ;0,57 ;0,24 ;0,23 ;0,75 ;1,02 ;1,02 ;0,27 ;0,23 ;0,22
12/2006;0,32 ;0,26 ;0,63 ;0,36 ;0,11 ;0,47 ;0,29 ;0,39 ;0,30 ;0,36
01/2007;0,50 ;0,43 ;0,69 ;0,45 ;0,32 ;0,39 ;0,40 ;0,81 ;0,45 ;0,08
02/2007;0,27 ;0,23 ;0,34 ;0,21 ;0,19 ;0,28 ;0,21 ;0,43 ;0,26 ;-0,10
03/2007;0,34 ;0,22 ;0,48 ;0,27 ;0,11 ;0,38 ;0,33 ;0,45 ;0,17 ;0,20
04/2007;0,04 ;0,14 ;0,31 ;0,46 ;0,02 ;0,18 ;-0,14 ;0,37 ;0,43 ;0,84
05/2007;0,04 ;0,16 ;0,25 ;1,15 ;-0,04 ;0,09 ;-0,09 ;0,20 ;0,55 ;0,58
06/2007;0,26 ;0,26 ;0,42 ;0,92 ;0,09 ;0,15 ;0,01 ;0,35 ;1,67 ;-0,09
07/2007;0,28 ;0,37 ;0,28 ;0,31 ;0,42 ;0,22 ;0,26 ;0,34 ;0,21 ;-0,01
08/2007;0,98 ;1,39 ;0,42 ;0,26 ;1,96 ;0,64 ;1,31 ;0,39 ;0,35 ;0,61
09/2007;1,29 ;1,17 ;0,23 ;0,51 ;1,64 ;1,47 ;1,83 ;0,21 ;0,39 ;0,41
10/2007;1,05 ;0,75 ;0,13 ;0,51 ;1,02 ;1,07 ;1,42 ;0,28 ;0,49 ;0,41
11/2007;0,69 ;1,05 ;0,27 ;0,36 ;1,45 ;0,71 ;0,97 ;0,04 ;0,48 ;0,41
12/2007;1,76 ;1,47 ;0,70 ;0,59 ;1,90 ;1,59 ;2,36 ;0,67 ;0,43 ;1,01
01/2008;1,09 ;0,99 ;0,97 ;0,38 ;1,08 ;1,02 ;1,24 ;0,96 ;0,41 ;0,88
02/2008;0,53 ;0,38 ;0,00 ;0,40 ;0,52 ;0,80 ;0,64 ;0,26 ;0,43 ;0,79
03/2008;0,74 ;0,70 ;0,45 ;0,66 ;0,80 ;0,61 ;0,96 ;0,19 ;0,59 ;0,94
04/2008;0,69 ;1,12 ;0,72 ;0,87 ;1,30 ;0,45 ;0,65 ;0,76 ;0,82 ;1,77
05/2008;1,61 ;1,88 ;0,87 ;2,02 ;2,22 ;1,52 ;2,01 ;0,68 ;1,10 ;2,13
06/2008;1,98 ;1,89 ;0,77 ;1,92 ;2,29 ;1,96 ;2,27 ;0,89 ;2,67 ;1,69
07/2008;1,76 ;1,12 ;0,53 ;1,46 ;1,28 ;2,00 ;2,20 ;0,65 ;1,42 ;1,34
08/2008;-0,32 ;-0,38 ;0,14 ;1,18 ;-0,80 ;0,38 ;-0,74 ;0,23 ;1,27 ;0,86
09/2008;0,11 ;0,36 ;-0,09 ;0,95 ;0,44 ;-0,42 ;0,04 ;-0,06 ;0,95 ;0,77
10/2008;0,98 ;1,09 ;0,47 ;0,77 ;1,36 ;0,78 ;1,24 ;0,25 ;0,85 ;1,86
11/2008;0,38 ;0,07 ;0,56 ;0,50 ;-0,17 ;0,73 ;0,30 ;0,52 ;0,65 ;-0,01
12/2008;-0,13 ;-0,44 ;0,52 ;0,17 ;-0,88 ;0,03 ;-0,42 ;0,58 ;0,22 ;-0,73
01/2009;-0,44 ;0,01 ;0,83 ;0,33 ;-0,33 ;-0,85 ;-0,95 ;0,75 ;0,26 ;-1,16
02/2009;0,26 ;-0,13 ;0,21 ;0,27 ;-0,31 ;0,54 ;0,20 ;0,40 ;0,35 ;-0,29
03/2009;-0,74 ;-0,84 ;0,61 ;-0,25 ;-1,46 ;-0,31 ;-1,24 ;0,43 ;-0,17 ;-1,16
04/2009;-0,15 ;0,04 ;0,47 ;-0,04 ;-0,10 ;-0,71 ;-0,44 ;0,58 ;-0,01 ;-0,58
05/2009;-0,07 ;0,18 ;0,39 ;1,39 ;-0,10 ;0,17 ;-0,30 ;0,42 ;0,25 ;-0,32
06/2009;-0,10 ;-0,32 ;0,12 ;0,70 ;-0,64 ;-0,03 ;-0,45 ;0,17 ;1,53 ;-0,97
07/2009;-0,43 ;-0,64 ;0,34 ;0,26 ;-1,16 ;-0,35 ;-0,85 ;0,34 ;0,37 ;-0,69
08/2009;-0,36 ;0,09 ;0,20 ;-0,05 ;0,07 ;-0,60 ;-0,61 ;0,16 ;0,01 ;0,10
09/2009;0,42 ;0,25 ;0,18 ;0,15 ;0,29 ;0,35 ;0,53 ;0,28 ;0,07 ;0,63
10/2009;0,05 ;-0,04 ;0,01 ;0,06 ;-0,08 ;0,10 ;0,04 ;0,03 ;0,13 ;-0,02
